name,Bachelors Aggregate,IELTS,TOEFL,Duolingo,Backlogs,Research Papers,LOR,Work experience in years,GRE,Prediction
Allison Garcia,9.5,7.0,0,89,0,0,4,0,322,Yes
Robert Wall,6.9,8.0,0,93,0,1,4,4,319,Yes
Jerry Jones,7.5,8.0,108,96,1,1,2,5,298,Yes
Dawn Wright,6.5,8.5,97,78,0,0,1,1,320,No
David Webb,9.0,0,0,72,0,0,4,2,302,No
Terry Kaufman,8.5,7.5,109,0,1,0,4,2,298,Yes
Jacob Torres,6.5,0,0,85,0,0,3,3,299,No
Maria Bennett,8.5,7.0,103,77,0,1,2,4,290,Yes
Cody Grimes,9.0,7.0,80,86,1,0,3,5,335,Yes
Brittany Reyes,8.5,0,0,0,0,0,2,2,292,No
Kyle Morgan,9.5,7.0,0,91,0,0,4,0,326,Yes
Philip Elliott,9.5,0,115,0,1,1,3,4,297,Yes
Aaron Turner,8.5,0,107,94,0,1,4,1,309,Yes
Laurie Moran,7.5,0,86,0,0,1,2,4,311,Yes
Andrew Kelly,7.5,7.0,108,100,0,1,4,4,327,Yes
Daniel Hamilton,9.5,5.0,0,78,0,1,4,0,309,No
Paula King,6.0,8.0,94,80,0,0,1,0,310,Yes
Laura Willis,6.5,5.5,0,0,1,1,4,5,321,No
Carrie Martinez,9.5,7.5,107,100,1,1,3,4,322,Yes
Sharon Williams,7.5,7.0,113,98,0,0,1,4,340,Yes
Alexis Chen,7.0,8.0,107,83,0,0,2,0,291,No
Thomas Sandoval,8.5,0,116,74,1,1,3,3,339,Yes
Debra Grimes,8.0,7.0,104,0,1,0,1,2,290,Yes
Christopher Gonzalez,9.0,8.5,96,84,0,0,2,0,318,Yes
John Hart,6.0,7.5,84,0,1,1,3,0,297,No
Kara Hall,8.0,5.5,82,73,1,0,2,1,294,No
Larry Kane,6.5,8.5,96,0,0,1,2,5,337,Yes
Mason Willis,8.5,7.5,110,71,0,0,3,4,317,Yes
Colin Bailey,8.0,0,85,94,1,0,2,0,300,Yes
Kevin Ellis,10.0,0,0,88,0,1,4,3,327,Yes
Gerald Wallace,7.5,0,96,87,1,1,1,1,296,No
Sue Fletcher,6.5,0,0,0,1,1,4,5,335,No
Alicia Leach,7.5,7.0,88,94,1,0,3,0,302,No
Victor Knight,7.0,7.5,108,90,1,0,4,0,335,No
Jasmine Jones,9.0,5.0,85,80,1,1,1,3,335,Yes
Taylor Zimmerman,9.0,8.0,0,75,1,0,3,1,340,Yes
Katherine Anderson DVM,8.5,0,108,0,1,0,3,1,294,No
Timothy Brown,10.0,0,0,0,1,0,2,1,338,No
Andrew Black,7.5,8.0,93,89,0,0,2,0,299,Yes
Ryan Evans,10.0,0,102,0,0,0,4,2,321,Yes
Grant Perez,8.0,5.5,106,0,1,1,3,5,294,Yes
Nicholas Smith,7.5,0,103,76,0,0,3,4,331,Yes
Richard Johnson,8.5,7.0,100,84,1,1,1,2,328,Yes
Zachary Perez,8.0,7.5,98,88,0,1,3,0,338,Yes
Samantha Lopez,7.5,7.5,82,98,0,0,1,1,308,Yes
Ronald Williams,7.5,0,0,0,0,0,2,2,331,No
Gabrielle Jensen,8.0,7.5,0,86,1,1,3,4,326,Yes
Anthony Gates,8.0,6.0,87,78,1,1,4,3,331,No
Alexander Thompson,9.5,6.0,0,100,1,1,1,0,316,Yes
Robert Wheeler,9.0,0,95,0,1,1,3,4,297,No
Bridget Cook,6.5,0,106,94,0,1,2,4,309,Yes
Amy Hunt,8.0,5.0,83,87,1,0,3,5,299,No
Michael Tran,9.0,7.0,85,0,1,1,2,4,318,Yes
Kari Petty,7.0,0,88,77,1,1,3,3,303,No
Julia Weaver,9,0,120,79,1,1,1,5,302,Yes
Hunter Jennings,7.5,5.0,0,0,0,0,4,0,299,No
Chelsea Schwartz,9.5,7.5,91,79,1,1,3,2,334,Yes
Danny Powell,8.5,0,0,0,0,0,3,1,334,No
Katrina Stanley,6.5,7.0,89,74,0,1,2,1,313,Yes
Sarah Pennington,10.0,0,105,83,0,1,2,1,334,Yes
Kelly Norman,7.0,7.5,100,92,0,0,1,4,321,Yes
Mr. Dennis Duran,9.5,0,0,99,1,1,2,0,303,Yes
Brent Chase,6.0,6.0,0,0,1,1,4,4,300,No
Christopher Berry,10.0,6.5,0,86,0,0,4,2,325,No
Shannon Cruz,6.0,6.0,93,96,1,1,2,0,303,No
Martha Smith,7.5,8.0,96,0,0,1,3,2,305,Yes
Martha Castaneda,7.5,0,0,100,0,0,3,0,297,No
Jerry Kennedy,8.5,0,0,0,1,0,3,5,336,No
Barbara Bond,9.5,5.5,0,80,0,0,3,0,304,No
Daniel Ross,6.0,7.5,119,88,1,0,2,3,325,Yes
Amanda Hicks,9.5,5.5,83,72,0,1,1,3,291,No
Jennifer Green,9.5,6.0,0,0,1,0,1,4,325,No
Kelly Wise,8.0,8.5,120,0,0,0,2,2,318,Yes
William Knapp,6.0,0,99,70,0,0,2,0,335,No
Samantha Becker,7.5,0,93,0,1,0,4,5,317,Yes
Samantha Cooley,7.5,8.0,114,79,0,0,3,3,309,Yes
April Alvarado,6.5,0,0,100,1,1,3,4,340,Yes
Jaime Brown,9.5,8.0,117,0,0,0,3,4,321,Yes
Thomas Chen,6.5,0,0,70,0,0,4,0,340,No
Katherine Rose,7.5,0,120,92,0,1,3,1,300,Yes
Vanessa Johnson,7.0,6.0,107,80,0,1,2,5,329,Yes
Michael Anderson,7.5,0,86,97,0,1,3,0,293,No
Kathryn Robles,8.5,6.0,104,0,1,1,4,3,308,Yes
Robert Andrews,10.0,8.0,90,0,0,0,4,1,327,Yes
Lindsey Johnson,7.0,0,109,79,0,1,1,3,322,Yes
Karen Perez,9.0,8.0,91,96,1,0,2,4,314,Yes
Melissa Wong,8.5,5.5,104,0,1,0,3,5,303,No
Edward Hodge,7.5,0,115,0,1,0,1,1,308,Yes
Bradley Sullivan,8.0,8.0,115,76,1,0,3,5,321,Yes
Kevin Andrade,6.5,6.5,94,94,1,0,2,4,318,Yes
Richard Spencer,10.0,7.5,97,82,0,1,4,4,304,Yes
Jennifer Mills,6.0,6.5,93,0,0,0,4,1,335,No
Lisa Wolfe,9.0,6.5,111,92,0,0,2,2,332,Yes
Richard Martinez,6.5,0,0,0,0,0,3,4,328,No
Robert Greer,7.0,7.5,0,0,0,1,4,3,306,Yes
Michele Webster,9.5,7.5,81,81,0,0,3,5,329,Yes
Caitlin Villegas,9.0,6.5,0,99,1,1,3,1,309,Yes
Derrick Ward,9.5,5.5,103,77,1,1,1,5,294,No
Lauren Morgan,7.5,6.0,97,77,1,0,3,4,308,No
Chad Salinas,7.0,6.0,0,0,0,1,1,2,325,No
